ID,City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Lower_Age,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response
82,2,187,0,1,71,1,0,8,4.0,22,10.191129624187887,0
83,9,52,1,0,21,0,2,1,1.0,12,8.461257559085935,1
84,1,1944,0,0,29,0,0,6,1.0,22,9.175748927206564,0
85,7,1210,0,1,25,1,3,3,3.0,18,9.716048925842694,0
86,3,1506,1,0,30,0,1,9,4.0,22,9.42706335548747,0
87,7,4433,0,0,43,0,1,15,3.0,21,9.52558897214577,0
88,28,762,0,0,58,0,1,1,2.0,1,9.692643056808935,0
89,1,1154,0,1,64,1,3,15,3.0,7,10.09377727897926,1
90,8,3514,1,0,22,0,0,2,4.0,1,9.017483513266844,0
91,2,1734,0,1,34,1,1,4,3.0,11,9.518413134075697,0
92,15,2515,1,0,64,0,0,1,2.0,17,9.862040362621954,0
93,6,2100,1,0,39,0,3,1,3.0,10,9.469622969906265,0
94,3,2103,0,0,66,0,0,2,3.0,18,9.908475094047168,0
95,3,2079,1,0,20,0,0,1,3.0,22,8.614682812693495,0
96,28,4553,1,0,60,0,0,9,1.0,16,9.656563472556515,0
97,7,2024,0,0,24,0,0,2,1.0,2,9.00724451596575,1
98,20,973,0,0,57,0,0,1,3.0,4,9.487972108574462,0
99,2,3132,0,0,41,0,0,1,3.0,22,9.654897979890443,0
100,1,156,1,0,25,0,3,2,3.0,16,9.102086786535928,0
101,1,244,0,0,40,0,0,15,3.0,21,9.050875597325156,0
102,2,3667,1,0,19,0,0,1,3.0,15,8.869257522797287,0
103,1,2251,0,1,60,1,0,15,3.0,18,10.093281124168783,0
104,2,203,1,1,36,1,1,10,4.0,2,9.25339986143663,0
105,3,1057,0,0,45,0,5,1,1.0,12,9.56156046523195,1
106,3,1691,0,1,37,1,1,9,3.0,21,9.728562573492393,0
107,2,1818,0,1,48,0,0,15,3.0,22,10.429398813720159,0
108,20,132,1,0,26,0,0,5,3.0,15,8.335191583433202,0
109,12,585,0,0,62,0,2,15,3.0,16,9.497922439427631,0
110,1,2509,1,0,22,0,3,2,3.0,21,9.400630098419315,0
111,19,831,1,0,43,0,0,1,1.0,2,9.277251077258809,0
112,18,523,0,0,51,0,0,2,1.0,16,9.74893679268753,0
113,2,521,1,0,56,0,2,8,3.0,17,9.776335766875645,0
114,10,1780,1,0,27,0,1,1,1.0,19,9.1986725671085,0
115,10,1766,1,1,35,1,1,1,1.0,17,9.798626911919953,0
116,10,224,0,0,25,0,1,2,3.0,21,9.01724094201035,0
117,2,3885,1,0,64,0,0,15,4.0,17,9.734121706902389,0
118,5,2788,1,0,22,0,0,1,1.0,13,8.980172205725008,0
119,2,4149,1,0,35,0,1,6,3.0,21,9.1958356857733,0
120,26,2082,0,0,69,0,0,1,3.0,4,9.619000370980867,0
121,2,706,1,0,26,0,0,2,4.0,22,8.712759974960212,0
122,2,2853,0,0,48,0,1,15,3.0,21,9.70063670448968,0
123,10,872,0,0,45,0,1,5,3.0,3,9.751850377873168,1
124,2,1591,1,0,59,0,1,15,3.0,14,9.42060129745938,1
125,15,4199,1,0,49,0,2,4,1.0,16,9.656563472556515,0
126,3,2103,0,0,24,0,0,1,2.0,20,8.794824928014517,0
127,1,1993,0,0,67,0,0,6,3.0,21,9.583282288378786,0
128,4,1370,0,0,63,0,0,8,3.0,21,9.860997500915175,0
129,34,150,0,0,38,0,2,15,3.0,14,9.15440473964588,0
130,13,1532,0,0,21,0,1,1,3.0,4,9.21512888870798,0
131,2,925,1,0,25,0,2,2,3.0,21,8.499436469826978,1
132,8,5314,1,0,46,0,0,6,3.0,1,9.49702194409438,0
133,12,2224,0,0,63,0,1,1,2.0,17,9.822819649468673,0
134,1,843,0,0,35,0,1,15,1.0,22,9.024251728612985,0
135,2,154,0,0,39,0,1,2,3.0,18,8.927446816256198,1
136,15,1680,1,1,23,1,2,5,1.0,15,9.359622074691938,0
137,16,1739,0,1,19,0,0,1,1.0,22,10.22545510295446,0
138,1,1653,0,1,56,1,3,15,3.0,5,10.542136307759575,0
139,1,3588,0,0,29,0,1,4,3.0,18,8.738735461363474,1
140,13,996,0,0,59,0,0,2,1.0,20,9.636392113692736,0
141,9,1152,0,0,70,0,5,4,3.0,4,9.6778408710038,0
142,16,2271,1,0,28,0,0,3,2.0,21,9.078407700715356,1
143,24,3782,0,0,49,0,0,2,1.0,19,9.620593996816144,0
144,13,626,0,0,43,0,2,6,3.0,21,9.328123407632566,0
145,1,534,0,0,28,0,0,8,3.0,22,8.776475789346321,0
146,4,897,0,1,57,1,2,1,3.0,7,10.122976433671521,0
147,16,2009,1,1,20,1,2,1,3.0,5,8.877381954654766,1
148,4,153,1,0,18,0,0,1,3.0,6,8.690137586397595,0
149,3,3815,1,0,31,0,1,1,3.0,16,9.223848722000975,0
150,2,746,0,0,38,0,3,8,2.0,11,9.024251728612985,0
151,18,1178,0,0,62,0,0,2,1.0,19,9.96852594871535,0
152,1,210,0,0,39,0,0,11,3.0,18,9.477309402830421,1
153,3,1315,1,0,30,0,0,7,3.0,18,9.06554578707295,0
154,11,662,0,0,67,0,0,9,3.0,20,9.800790154297786,0
155,14,3127,0,0,58,0,0,4,3.0,9,9.725795264125836,0
156,11,3591,0,0,71,0,1,14,1.0,19,9.633121357849578,0
157,3,955,1,1,30,0,3,8,1.0,12,9.273878392780171,1
158,1,68,0,1,42,1,0,3,1.0,16,10.022869309556208,0
159,4,1953,0,0,68,0,4,5,3.0,21,9.581628028282761,1
160,3,1125,0,0,75,0,0,15,3.0,6,9.867342105899775,0
161,2,832,1,0,19,0,3,1,4.0,22,8.540519016719735,0
162,11,694,1,0,26,0,0,1,1.0,16,9.081597496083457,0
163,2,4046,0,0,66,0,0,5,3.0,14,9.719564714375199,0
164,3,783,1,0,21,0,0,1,2.0,15,8.215006432761575,0
165,2,2242,1,0,75,0,3,4,3.0,21,9.92093446613985,1
166,27,1176,0,1,38,1,3,15,3.0,17,9.393894502172683,1
167,22,472,0,1,73,1,1,15,3.0,18,10.275706066850656,0
168,2,2169,0,0,61,0,1,1,3.0,11,9.679718805828,0
169,1,3395,0,0,75,0,3,15,2.0,17,9.890402312987472,1
170,6,2385,0,0,32,0,3,4,3.0,21,9.373479109353363,0
171,10,124,1,1,32,1,6,5,3.0,18,10.221759448941915,0
172,11,319,0,1,52,1,1,15,1.0,19,10.072926483499069,1
173,3,2090,1,0,29,0,1,2,1.0,12,8.497806477616047,0
174,19,3476,1,0,57,0,2,3,1.0,22,9.653358136136932,0
175,2,4659,0,1,49,1,0,15,3.0,18,10.390348298848286,0
176,9,1183,1,0,44,0,2,15,1.0,16,9.370757093382087,0
177,8,1042,1,0,49,0,0,3,3.0,18,9.507774735870642,1
178,6,377,0,0,53,0,1,1,2.0,17,9.464982590349763,0
179,18,513,1,0,26,0,0,1,1.0,15,9.283962511846797,1
180,1,2342,0,1,63,1,4,1,4.0,16,10.284659968075248,0
181,7,2503,0,1,16,0,1,2,3.0,21,10.184869822839381,0
182,7,685,1,0,30,0,1,4,3.0,18,9.365804474600255,0
183,1,461,1,0,32,0,0,6,3.0,18,9.31847703058076,0
184,9,1712,0,1,56,1,1,4,4.0,22,10.178935087319566,1
185,2,194,1,1,49,1,3,2,3.0,22,9.946661977919925,0
186,1,2398,1,0,67,0,0,4,3.0,20,9.788974165747367,0
187,4,4429,1,0,19,0,2,1,2.0,15,7.889084407035514,0
188,4,3978,1,0,23,0,0,2,3.0,18,8.760923376338836,0
189,7,1210,0,0,30,0,3,8,3.0,21,9.379576689221482,1
190,4,1798,0,0,49,0,2,3,3.0,12,9.507774735870642,0
191,4,2583,1,0,30,0,0,6,3.0,12,9.22009266341886,0
192,16,1262,1,0,22,0,0,2,1.0,19,9.132811169466946,1
193,2,2982,1,0,72,0,5,15,3.0,14,9.766751028962657,1
194,2,3340,1,0,24,0,2,2,3.0,3,8.660080678964786,0
195,33,2757,0,0,49,0,3,1,4.0,17,9.741203889478681,1
196,6,2994,1,0,24,0,2,3,3.0,9,8.785692444451245,0
197,4,3962,0,0,49,0,2,5,1.0,18,9.273878392780171,0
198,1,1327,0,0,75,0,0,3,3.0,22,10.138875830266775,0
199,11,2340,0,0,75,0,0,3,3.0,22,9.987093136390925,1
200,9,2406,1,0,25,0,2,5,1.0,4,8.71768205216564,0
201,5,514,1,0,41,0,0,7,1.0,20,9.30782999325344,0
202,1,8,1,0,67,0,2,5,1.0,5,9.604542287805636,0
203,11,3372,1,1,60,0,0,5,3.0,19,10.230313412105536,0
204,6,231,1,0,22,0,0,2,3.0,22,9.243388226022383,0
205,9,1358,1,0,75,0,0,15,3.0,16,10.14037620564201,0
206,34,67,0,1,20,0,2,3,3.0,6,9.810055607743575,0
207,3,2232,0,1,49,1,0,15,3.0,18,10.108027117896516,1
208,7,3350,0,1,30,1,1,5,1.0,19,9.991498429858842,1
209,2,302,1,0,58,0,1,3,1.0,16,9.849875783087478,1
210,1,1732,1,0,30,0,0,1,3.0,7,8.996651979432729,0
211,1,3061,0,1,51,1,1,2,3.0,7,9.720765915720834,0
212,15,1342,0,0,66,0,2,6,3.0,18,9.762384711558127,1
213,23,80,1,0,27,0,0,2,3.0,18,9.276876895776427,0
214,1,1647,1,0,24,0,0,1,1.0,12,8.672486075822272,0
215,20,1939,1,0,23,0,0,2,4.0,14,8.090708716083997,1
216,1,5127,1,0,27,0,0,2,1.0,12,8.48632152774915,1
217,2,910,0,0,58,0,4,2,4.0,17,9.740733301234702,0
218,9,703,1,1,23,1,1,1,1.0,4,8.605753368395717,0
219,3,748,0,0,55,0,0,1,1.0,16,9.769956159911606,1
220,3,3029,0,1,69,1,1,15,3.0,18,10.412231010097795,1
221,2,599,0,0,75,0,1,9,4.0,17,9.830916859701293,0
222,13,5742,0,0,75,0,4,15,3.0,8,9.880832861971323,1
223,6,2391,1,0,29,0,2,1,3.0,22,9.119101891541911,0
224,9,915,0,0,24,0,2,4,4.0,21,9.21512888870798,0
225,3,71,0,0,50,0,1,4,1.0,2,9.730442832522382,0
226,5,75,1,0,26,0,0,1,3.0,9,9.451402423792738,0
227,1,4,0,1,71,1,1,2,4.0,18,10.324300937591092,0
228,12,1062,1,0,25,0,1,2,1.0,15,9.340666633651757,0
229,15,1579,1,0,22,0,0,2,1.0,21,8.37655086161377,0
230,18,3646,1,1,39,1,0,3,2.0,1,9.41533624580901,0
231,6,1983,1,0,25,0,0,5,1.0,21,9.16408698745872,0
232,28,4277,1,0,48,0,5,1,1.0,12,9.558176367247711,1
233,17,3707,0,0,53,0,0,2,1.0,1,9.596690616224665,0
234,4,1534,0,0,23,0,0,2,3.0,10,9.06554578707295,0
235,4,320,0,0,27,0,5,1,3.0,18,9.232493176617316,0
236,19,909,0,1,16,1,0,3,3.0,14,9.518413134075697,0
237,1,3395,1,0,52,0,5,1,2.0,20,9.348710041240954,1
238,1,4756,0,0,70,0,0,10,4.0,17,9.938178792326058,1
239,3,567,0,1,28,1,3,4,3.0,18,9.47681923677686,0
240,28,605,1,0,38,0,2,2,1.0,1,9.244741798693514,0
241,12,4919,1,0,19,0,0,1,1.0,1,9.079320109537779,0
242,19,2444,1,0,30,0,1,2,1.0,1,8.81818627792769,0
243,1,2383,0,1,61,1,0,9,1.0,19,10.000686855913248,0
244,26,829,0,0,66,0,2,9,3.0,18,9.956080002655298,0
245,17,188,1,0,26,0,3,1,1.0,1,8.849657406639912,0
246,19,2047,0,0,29,0,0,2,1.0,19,9.16282938930513,0
247,7,3166,1,0,34,0,3,4,3.0,22,9.460320577243952,1
248,2,1934,0,0,45,0,1,15,3.0,22,9.549380736703105,1
249,5,3842,0,1,23,1,1,4,3.0,21,9.296811603113303,0
250,1,46,0,0,38,0,4,13,3.0,8,9.636392113692736,0
251,2,2194,1,1,32,1,3,1,3.0,18,9.427578520673697,1
252,2,1276,1,0,41,0,3,3,1.0,12,9.26785427817679,0
253,3,851,0,1,45,1,0,1,1.0,9,9.883284845218608,0
254,1,1545,0,0,26,0,1,4,1.0,16,9.311994025702683,0
255,4,191,1,0,22,0,1,1,1.0,15,8.785692444451245,0
256,4,742,1,0,54,0,1,15,3.0,17,9.574983485564092,1
257,15,2550,0,0,27,0,0,1,1.0,16,8.809862805379057,1
258,11,1770,1,0,24,0,1,2,3.0,21,8.96341629199657,1
259,1,1128,1,0,26,0,1,2,3.0,22,8.861633597686627,0
260,2,316,0,1,34,1,3,5,3.0,21,9.913041765340939,0
261,2,4734,0,1,20,1,3,7,3.0,22,9.94063881816692,0
262,17,160,0,0,42,0,0,15,1.0,19,9.541512875502493,0
263,9,5146,1,0,38,0,1,2,1.0,4,9.472704636443673,0
264,20,3165,0,0,40,0,3,3,3.0,22,9.479603858903946,0
265,1,581,0,1,23,1,0,15,1.0,1,9.98532557075176,0
266,19,1380,1,0,63,0,0,1,1.0,19,9.826174449433458,1
267,19,1652,0,0,75,0,0,2,1.0,1,10.049404427436283,0
268,5,1232,0,0,39,0,3,4,3.0,21,9.348710041240954,0
269,1,1561,1,0,30,0,2,7,3.0,18,8.817297783866575,1
270,4,3198,1,0,23,0,0,1,2.0,22,9.135832319801121,0
271,17,420,0,1,21,1,2,1,1.0,2,8.826088660267216,0
272,17,1040,0,1,42,0,0,1,1.0,16,10.251097533567798,0
273,1,3886,1,0,22,0,0,1,2.0,20,8.98619632032839,1
274,2,2019,0,0,71,0,2,1,4.0,22,9.916206324943902,0
275,1,1647,0,1,64,1,0,15,3.0,20,9.980411555949331,0
276,16,4742,1,0,21,0,0,1,2.0,22,9.081597496083457,0
277,3,2628,1,0,35,0,1,1,1.0,16,9.587817443544179,1
278,2,654,0,0,75,0,3,3,4.0,3,10.060491301345794,0
279,7,919,0,1,37,1,1,5,1.0,19,10.014563702789838,0
280,2,1306,1,0,24,0,0,4,3.0,21,9.172846167548602,1
281,2,154,1,0,62,0,1,9,1.0,11,9.587817443544179,1
282,2,2364,1,0,53,0,3,3,1.0,12,9.489486113405677,0
283,8,3208,0,0,23,0,1,2,3.0,1,8.501063809486354,0
284,22,711,0,1,55,1,1,15,3.0,18,9.892952250620745,0
285,1,616,0,0,52,0,3,15,4.0,17,9.610993923087126,1
286,4,1333,1,0,40,0,3,3,2.0,21,9.504501410525673,0
287,1,497,0,0,52,0,3,6,3.0,17,9.558176367247711,0
288,1,2272,0,0,61,0,2,11,1.0,19,9.94270826568941,0
289,1,2467,0,0,66,0,3,15,4.0,17,9.8928309723476,0
290,21,5225,0,0,58,0,2,5,1.0,13,9.511037381505458,0
291,1,461,0,0,71,0,1,15,1.0,18,9.790542793519993,0
292,1,434,1,0,43,0,0,12,1.0,22,9.221478116386638,0
293,2,568,1,0,26,0,1,1,4.0,3,8.788745881938135,0
294,1,1368,0,0,35,0,0,11,1.0,16,8.903271585724212,0
295,3,2763,0,0,50,0,0,1,3.0,17,9.320091235935301,1
296,4,139,0,0,35,0,0,5,3.0,6,9.174505918966966,0
297,2,3812,1,0,28,0,0,4,3.0,20,9.26974071525763,1
298,5,2376,1,1,21,1,0,2,3.0,5,9.610350629401383,0
299,1,171,0,0,48,0,4,15,4.0,5,9.261793653565098,0
300,3,1821,1,1,36,0,1,7,2.0,18,10.017815738176214,0
301,4,4032,0,0,37,0,3,5,3.0,22,8.87346805533363,0
302,4,70,1,1,35,1,5,1,1.0,18,9.6820425578575,0
303,1,2272,0,0,74,0,0,15,3.0,19,9.97524991876302,0
304,3,55,1,0,22,0,0,2,3.0,22,9.135832319801121,1
305,17,1013,1,0,50,0,0,7,2.0,12,9.336091577281744,0
306,6,667,0,0,23,0,3,2,3.0,21,8.601534339849989,0
307,21,4870,1,1,19,0,0,3,2.0,13,9.777924329560783,0
308,2,2903,0,0,53,0,1,15,3.0,15,9.596418766284158,1
309,2,864,0,0,75,0,3,3,3.0,14,10.04654839537678,0
310,2,2152,0,0,47,0,0,4,3.0,21,9.76388059814971,0
311,9,540,1,1,19,0,0,5,3.0,14,10.174552319164471,0
312,7,274,1,0,23,0,0,1,1.0,19,9.102086786535928,0
313,1,1383,1,1,50,1,1,7,3.0,20,10.02267404732729,0
314,19,655,1,0,31,0,0,1,1.0,19,9.144841389743487,1
315,1,2222,1,0,39,0,1,8,1.0,16,8.92903790648844,0
316,11,3443,0,0,24,0,5,1,3.0,21,8.868413284672005,0
317,18,2187,1,0,30,0,0,2,1.0,16,9.30492301446213,0
318,25,1266,1,0,20,0,0,1,1.0,19,8.2960476427647,0
319,2,1707,0,0,45,0,3,8,4.0,15,9.454070556898781,1
320,7,389,0,0,22,0,0,2,3.0,15,9.055789612127585,1
321,2,2329,0,0,27,0,1,2,3.0,18,8.793308627496552,0
322,18,1546,1,0,22,0,1,1,1.0,22,8.951051374025619,1
323,10,1796,1,0,26,0,2,1,3.0,21,9.373479109353363,0
324,9,967,0,0,43,0,1,11,3.0,4,9.344871264933788,0
325,1,3635,1,0,35,0,1,7,1.0,19,9.048762176320128,0
326,7,2588,1,0,47,0,1,2,1.0,12,9.166179476190413,1
327,2,3241,0,0,51,0,3,15,3.0,18,9.706011747970496,0
328,1,268,0,0,72,0,3,7,3.0,21,9.998070195022075,0
329,7,2904,0,0,27,0,0,3,3.0,4,8.456168489578463,0
330,1,4160,1,0,26,0,2,6,4.0,22,9.30054663986233,0
331,21,5153,0,0,40,0,4,10,3.0,14,9.460943436186543,0
332,2,5294,1,0,24,0,0,2,3.0,14,8.283999304248526,0
333,7,196,0,0,60,0,2,4,1.0,12,9.597505722912913,1
334,20,2510,1,0,54,0,0,2,3.0,21,9.551373619924957,0
335,2,3420,1,0,27,0,0,4,3.0,21,9.345570321236286,0
336,17,2978,0,0,26,0,0,4,1.0,1,8.856518497019858,0
337,3,28,1,0,22,0,0,2,3.0,21,8.821732380934442,1
338,4,199,1,0,24,0,0,2,3.0,7,8.746716349694486,0
339,18,3328,0,1,22,0,0,5,2.0,17,10.393881871429597,0
340,20,414,1,0,23,0,1,1,3.0,22,8.496173824192162,1
341,21,5203,1,0,35,0,1,12,1.0,20,9.20230820027892,1
342,2,3839,1,0,21,0,2,1,2.0,13,8.588210678651517,0
343,9,995,1,0,60,0,3,4,3.0,21,9.620593996816144,0
344,17,3742,0,0,51,0,1,15,2.0,18,9.804550804676104,1
345,27,3469,0,0,26,0,1,5,3.0,4,8.741935464094144,0
346,2,746,0,0,58,0,1,6,3.0,3,9.40426106461349,1
347,4,1638,0,1,39,0,3,2,1.0,19,9.78937776224604,0
348,3,41,1,0,40,0,3,7,4.0,16,9.25874951118387,0
349,1,1819,0,1,42,1,1,15,3.0,21,9.976552123393134,0
350,2,832,0,0,62,0,0,3,3.0,22,9.892224360257417,0
351,18,2187,0,1,19,1,1,15,1.0,22,9.953277217038643,0
352,2,1322,0,0,43,0,0,14,3.0,22,9.2387334464774,1
353,6,2786,1,0,23,0,4,2,4.0,1,8.419800845407588,0
354,2,560,1,0,31,0,0,9,1.0,3,9.223848722000975,0
355,4,2658,1,0,65,0,0,2,1.0,19,9.842143922295076,1
356,9,3503,0,1,49,1,4,5,4.0,4,9.8327216816428,0
357,22,1511,1,0,21,0,1,1,1.0,16,8.83927669058535,1
358,3,2593,1,0,21,0,1,1,3.0,18,8.585225601808064,0
359,23,1374,1,0,25,0,2,5,3.0,20,8.932212512329214,0
360,2,3400,1,0,22,0,3,1,3.0,22,9.202912856147385,1
361,7,5777,0,1,58,1,7,6,4.0,2,10.00487016682473,0
362,1,142,1,0,25,0,1,2,1.0,19,9.290259995152056,0
363,21,4399,1,0,23,0,0,3,3.0,18,8.969541885423252,0
364,1,5,0,1,53,1,0,1,1.0,16,10.131260372234,0
365,25,2451,1,0,33,0,0,3,3.0,21,9.034318927730707,0
366,9,10,0,1,67,1,0,2,3.0,21,10.343238138610843,1
367,2,3728,0,1,19,0,3,10,3.0,15,9.871645946679969,1
368,18,1238,0,1,40,1,1,1,1.0,16,10.310977276392622,0
369,22,2108,1,0,25,0,0,4,3.0,18,9.321702839829644,1
370,12,84,1,1,45,1,0,2,1.0,19,10.271458456216711,0
371,9,1009,0,0,55,0,3,1,3.0,4,9.430278792341444,0
372,4,942,1,0,40,0,0,1,3.0,22,9.132811169466946,1
373,1,300,0,0,67,0,4,15,4.0,17,9.824444345195674,0
374,8,5240,0,1,44,1,3,6,3.0,1,9.876630098366245,0
375,1,1260,0,1,43,1,1,7,3.0,21,9.97878053657156,1
376,17,328,0,0,48,0,0,4,1.0,20,9.361171261678766,0
377,2,4300,0,0,41,0,3,3,3.0,14,9.365804474600255,0
378,6,122,1,0,24,0,5,1,1.0,22,8.505929999137527,0
379,17,200,0,0,56,0,0,3,1.0,12,9.627997520849709,0
380,23,1,0,0,68,0,0,3,1.0,18,9.833923089150218,0
381,2,3598,1,0,64,0,0,8,1.0,2,9.816839745810455,0
382,8,1042,0,1,33,1,1,4,2.0,13,9.078407700715356,0
383,33,2063,0,0,59,0,6,4,4.0,16,9.581628028282761,0
384,2,661,0,0,28,0,0,1,3.0,22,8.773384596776648,1
385,26,88,0,0,75,0,2,15,2.0,21,9.734121706902389,0
386,33,4027,1,0,19,0,0,1,1.0,2,8.290041618704489,0
387,10,1253,1,0,25,0,0,2,1.0,2,8.462948176563842,1
388,1,4529,1,1,55,1,0,14,3.0,22,10.196007901628159,0
389,1,697,1,0,25,0,0,1,1.0,16,8.722580021141189,0
390,10,405,0,1,48,1,1,3,3.0,18,10.065606402012563,0
391,11,2099,1,0,47,0,0,1,2.0,20,9.379238908437996,0
392,6,830,0,0,29,0,3,1,2.0,21,8.403800504061147,0
393,3,1243,0,1,27,0,2,4,3.0,18,10.073736528095813,1
394,24,1104,0,0,74,0,0,4,2.0,20,10.00487016682473,0
395,15,902,1,0,53,0,2,2,1.0,22,9.625359692889159,1
396,11,1590,0,1,52,1,1,3,3.0,21,10.146465103203429,1
397,28,762,1,0,25,0,2,1,1.0,1,8.548691858475609,0
